station,week_r,year_r,monitor_read
Anand Vihar,14,2015,0.484375
Anand Vihar,15,2015,0.31398809523809523
Anand Vihar,16,2015,0.7157738095238095
Anand Vihar,17,2015,0.7916666666666666
Anand Vihar,18,2015,0.8541666666666666
Anand Vihar,19,2015,0.8273809523809523
Anand Vihar,20,2015,0.8883928571428571
Anand Vihar,21,2015,0.9032738095238095
Anand Vihar,22,2015,0.6994047619047619
Anand Vihar,23,2015,0.53125
Anand Vihar,24,2015,0.6354166666666666
Anand Vihar,25,2015,0.7127976190476191
Anand Vihar,26,2015,0.8482142857142857
Anand Vihar,27,2015,0.7976190476190477
Anand Vihar,28,2015,0.7485119047619048
Anand Vihar,29,2015,0.7142857142857143
Anand Vihar,30,2015,0.8571428571428571
Anand Vihar,31,2015,0.7217261904761905
Anand Vihar,32,2015,0.9136904761904762
Anand Vihar,33,2015,0.7916666666666666
Anand Vihar,34,2015,0.7678571428571429
Anand Vihar,35,2015,0.8898809523809523
Anand Vihar,36,2015,0.75
Anand Vihar,37,2015,0.8690476190476191
Anand Vihar,38,2015,0.9315476190476191
Anand Vihar,39,2015,0.8988095238095238
Anand Vihar,40,2015,0.9732142857142857
Anand Vihar,41,2015,0.8511904761904762
Anand Vihar,42,2015,0.7321428571428571
Anand Vihar,43,2015,0.7485119047619048
Anand Vihar,44,2015,0.7113095238095238
Anand Vihar,45,2015,0.8184523809523809
Anand Vihar,46,2015,0.9226190476190477
Anand Vihar,47,2015,0.9747023809523809
Anand Vihar,48,2015,0.9158699808795411
Civil Lines,9,2015,0.8732638888888888
Civil Lines,10,2015,1.0
Civil Lines,11,2015,1.0
Civil Lines,12,2015,1.0
Civil Lines,13,2015,1.0
Civil Lines,14,2015,0.9821428571428571
Civil Lines,15,2015,1.0
Civil Lines,16,2015,1.0
Civil Lines,17,2015,0.9970238095238095
Civil Lines,18,2015,0.5625
Civil Lines,19,2015,0.0
Civil Lines,20,2015,0.0
Civil Lines,21,2015,0.0
Civil Lines,22,2015,0.0
Civil Lines,23,2015,0.9985119047619048
Civil Lines,24,2015,1.0
Civil Lines,25,2015,1.0
Civil Lines,26,2015,1.0
Civil Lines,27,2015,0.9955357142857143
Civil Lines,28,2015,0.6532738095238095
Civil Lines,29,2015,0.0
Civil Lines,30,2015,0.0
Civil Lines,31,2015,0.0
Civil Lines,32,2015,0.0
Civil Lines,33,2015,0.0
Civil Lines,34,2015,0.0
Civil Lines,35,2015,0.0
Civil Lines,36,2015,0.0
Civil Lines,37,2015,0.0
Civil Lines,38,2015,0.0
Civil Lines,39,2015,0.0
Civil Lines,40,2015,0.0
Civil Lines,41,2015,0.0
Civil Lines,42,2015,0.0
Civil Lines,43,2015,0.0
Civil Lines,44,2015,0.0
Civil Lines,45,2015,0.0
Civil Lines,46,2015,0.0
Civil Lines,47,2015,0.0
Civil Lines,48,2015,0.0
D.C.E.,1,2012,0.0
D.C.E.,1,2013,0.0
D.C.E.,1,2014,0.0
D.C.E.,1,2015,0.0
D.C.E.,2,2012,0.0
D.C.E.,2,2013,0.0
D.C.E.,2,2014,0.0
D.C.E.,2,2015,0.0
D.C.E.,3,2012,0.0
D.C.E.,3,2013,0.0
D.C.E.,3,2014,0.0
D.C.E.,3,2015,0.0
D.C.E.,4,2012,0.0
D.C.E.,4,2013,0.0
D.C.E.,4,2014,0.0
D.C.E.,4,2015,0.0
D.C.E.,5,2012,0.0
D.C.E.,5,2013,0.0
D.C.E.,5,2014,0.0
D.C.E.,5,2015,0.0
D.C.E.,6,2012,0.0
D.C.E.,6,2013,0.0
D.C.E.,6,2014,0.0
D.C.E.,6,2015,0.0
D.C.E.,7,2012,0.0
D.C.E.,7,2013,0.0
D.C.E.,7,2014,0.0
D.C.E.,7,2015,0.0
D.C.E.,8,2012,0.0
D.C.E.,8,2013,0.0
D.C.E.,8,2014,0.0
D.C.E.,8,2015,0.0
D.C.E.,9,2012,0.0
D.C.E.,9,2013,0.0
D.C.E.,9,2014,0.0
D.C.E.,9,2015,0.0
D.C.E.,10,2012,0.0
D.C.E.,10,2013,0.0
D.C.E.,10,2014,0.0
D.C.E.,10,2015,0.0
D.C.E.,11,2012,0.0
D.C.E.,11,2013,0.0
D.C.E.,11,2014,0.0
D.C.E.,11,2015,0.0
D.C.E.,12,2012,0.0
D.C.E.,12,2013,0.0
D.C.E.,12,2014,0.0
D.C.E.,12,2015,0.0
D.C.E.,13,2012,0.0
D.C.E.,13,2013,0.0
D.C.E.,13,2014,0.0
D.C.E.,13,2015,0.0
D.C.E.,14,2012,0.0
D.C.E.,14,2013,0.0
D.C.E.,14,2014,0.0
D.C.E.,14,2015,0.0
D.C.E.,15,2012,0.0
D.C.E.,15,2013,0.0
D.C.E.,15,2014,0.0
D.C.E.,15,2015,0.0
D.C.E.,16,2012,0.0
D.C.E.,16,2013,0.0
D.C.E.,16,2014,0.0
D.C.E.,16,2015,0.0
D.C.E.,17,2012,0.0
D.C.E.,17,2013,0.0
D.C.E.,17,2014,0.0
D.C.E.,17,2015,0.0
D.C.E.,18,2012,0.0
D.C.E.,18,2013,0.0
D.C.E.,18,2014,0.0
D.C.E.,18,2015,0.0
D.C.E.,19,2012,0.0
D.C.E.,19,2013,0.0
D.C.E.,19,2014,0.0
D.C.E.,19,2015,0.0
D.C.E.,20,2012,0.0
D.C.E.,20,2013,0.0
D.C.E.,20,2014,0.0
D.C.E.,20,2015,0.0
D.C.E.,21,2012,0.0
D.C.E.,21,2013,0.0
D.C.E.,21,2014,0.0
