study,year,method,source,value
Balachandran et al.,2000,receptor,vehicle,59
Balachandran et al.,2000,receptor,industry,19
Balachandran et al.,2000,receptor,dust,15
Balachandran et al.,2000,receptor,burning,
Khillare et al.,2004,receptor,vehicle,60
Khillare et al.,2004,receptor,industry,
Khillare et al.,2004,receptor,dust,22
Khillare et al.,2004,receptor,burning,
Chowdhury et al.,2007,receptor,vehicle,
Chowdhury et al.,2007,receptor,industry,
Chowdhury et al.,2007,receptor,dust,28
Chowdhury et al.,2007,receptor,burning,13.5
Srivastava and Jain,2007,receptor,vehicle,11
Srivastava and Jain,2007,receptor,industry,22
Srivastava and Jain,2007,receptor,dust,50
Srivastava and Jain,2007,receptor,burning,
Srivastava and Jain,2008,receptor,vehicle,62
Srivastava and Jain,2008,receptor,industry,2
Srivastava and Jain,2008,receptor,dust,35
Srivastava and Jain,2008,receptor,burning,
Chelani et al.,2010,receptor,vehicle,27
Chelani et al.,2010,receptor,industry,21.5
Chelani et al.,2010,receptor,dust,26
Chelani et al.,2010,receptor,burning,7.5
CPCB,2010,receptor,vehicle,14
CPCB,2010,receptor,industry,8
CPCB,2010,receptor,dust,45
CPCB,2010,receptor,burning,17
Sridhar,2010,receptor,vehicle,
Sridhar,2010,receptor,industry,20
Sridhar,2010,receptor,dust,25
Sridhar,2010,receptor,burning,10
Khillare and Sarkar,2012,receptor,vehicle,29
Khillare and Sarkar,2012,receptor,industry,12.5
Khillare and Sarkar,2012,receptor,dust,57
Khillare and Sarkar,2012,receptor,burning,
Gurjar,2004,source-based,vehicle,19
Gurjar,2004,source-based,industry,80
Gurjar,2004,source-based,dust,
Gurjar,2004,source-based,burning,
CPCB,2010,source-based,vehicle,7
CPCB,2010,source-based,industry,22
CPCB,2010,source-based,dust,52
CPCB,2010,source-based,burning,
Guttikunda and Calori,2012,source-based,vehicle,25
Guttikunda and Calori,2012,source-based,industry,13
Guttikunda and Calori,2012,source-based,dust,9
Guttikunda and Calori,2012,source-based,burning,6
Guttikunda and Goel,2013,source-based,vehicle,25
Guttikunda and Goel,2013,source-based,industry,17.5
Guttikunda and Goel,2013,source-based,dust,5.5
Guttikunda and Goel,2013,source-based,burning,23.5
